instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1646,2011-03-14,1,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,1
8709,2012-01-03,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,136
11607,2012-05-03,2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.194,522
3279,2011-05-21,2,0,5,12,0,6,0,1,0.66,0.6212,0.5,0,493
656,2011-01-30,1,0,1,15,0,0,0,1,0.3,0.3333,0.56,0,109
3864,2011-06-14,2,0,6,21,0,2,1,1,0.6,0.6212,0.56,0.2985,243
10168,2012-03-04,1,1,3,17,0,0,0,1,0.34,0.2879,0.31,0.5522,263
16775,2012-12-06,4,1,12,17,0,4,1,1,0.3,0.3182,0.45,0.1045,617
6854,2011-10-18,4,0,10,3,0,2,1,1,0.44,0.4394,0.94,0.0896,1
1831,2011-03-22,2,0,3,0,0,2,1,1,0.46,0.4545,0.88,0.194,11
8693,2012-01-03,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,13
3623,2011-06-04,2,0,6,20,0,6,0,2,0.7,0.6515,0.48,0.0896,239
7814,2011-11-27,4,0,11,4,0,0,0,1,0.34,0.3485,0.87,0.1045,4
14584,2012-09-04,3,1,9,20,0,2,1,1,0.74,0.697,0.7,0.2537,385
4958,2011-07-30,3,0,7,11,0,6,0,1,0.84,0.7424,0.36,0.194,317
12502,2012-06-10,2,1,6,2,0,0,0,1,0.64,0.6061,0.69,0.1343,73
324,2011-01-14,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0,27
2615,2011-04-23,2,0,4,20,0,6,0,2,0.54,0.5152,0.88,0.2537,183
7934,2011-12-02,4,0,12,5,0,5,1,1,0.22,0.2576,0.8,0.0896,23
1169,2011-02-21,1,0,2,11,1,1,0,2,0.32,0.3333,0.57,0.1045,90
11782,2012-05-11,2,1,5,2,0,5,1,1,0.46,0.4545,0.44,0.1642,31
3090,2011-05-13,2,0,5,15,0,5,1,2,0.52,0.5,0.88,0.1642,198
1401,2011-03-03,1,0,3,15,0,4,1,1,0.24,0.2879,0.23,0,68
5713,2011-08-31,3,0,8,11,0,3,1,1,0.72,0.6515,0.42,0.1343,171
1009,2011-02-14,1,0,2,16,0,1,1,1,0.52,0.5,0.27,0.4627,118
6343,2011-09-26,4,0,9,20,0,1,1,1,0.64,0.5758,0.89,0.1343,251
14514,2012-09-01,3,1,9,22,0,6,0,2,0.66,0.5909,0.89,0,78
10211,2012-03-06,1,1,3,12,0,2,1,1,0.26,0.2727,0.41,0.1045,138
12874,2012-06-25,3,1,6,14,0,1,1,1,0.78,0.697,0.43,0.2537,251
14360,2012-08-26,3,1,8,12,0,0,0,3,0.72,0.697,0.74,0.3582,626
15697,2012-10-21,4,1,10,5,0,0,0,1,0.38,0.3939,0.66,0.0896,10
2343,2011-04-12,2,0,4,12,0,2,1,2,0.56,0.5303,0.64,0.4627,92
1241,2011-02-24,1,0,2,19,0,4,1,3,0.34,0.303,0.93,0.2985,115
9158,2012-01-22,1,1,1,11,0,0,0,3,0.16,0.1515,0.8,0.2537,133
7393,2011-11-09,4,0,11,15,0,3,1,1,0.52,0.5,0.45,0.2239,151
6303,2011-09-25,4,0,9,4,0,0,0,3,0.6,0.5152,0.94,0.1343,8
5137,2011-08-06,3,0,8,22,0,6,0,2,0.7,0.6667,0.84,0.3284,120
13348,2012-07-15,3,1,7,8,0,0,0,2,0.7,0.6667,0.84,0.1343,133
9235,2012-01-25,1,1,1,16,0,3,1,1,0.34,0.3333,0.53,0.1642,246
6630,2011-10-08,4,0,10,19,0,6,0,1,0.54,0.5152,0.68,0.1343,248
9972,2012-02-25,1,1,2,12,0,6,0,1,0.32,0.2727,0.29,0.6567,258
13069,2012-07-03,3,1,7,17,0,2,1,2,0.86,0.7424,0.3,0.1642,722
15947,2012-11-02,4,1,11,3,0,5,1,1,0.3,0.303,0.7,0.1642,3
10813,2012-03-31,2,1,3,15,0,6,0,2,0.52,0.5,0.59,0.2836,605
15305,2012-10-04,4,1,10,21,0,4,1,1,0.62,0.6061,0.69,0,321
7448,2011-11-11,4,0,11,22,1,5,0,1,0.32,0.3182,0.39,0.194,91
10729,2012-03-28,2,1,3,3,0,3,1,1,0.34,0.303,0.42,0.3284,5
12330,2012-06-02,2,1,6,22,0,6,0,1,0.58,0.5455,0.46,0.1343,228
4737,2011-07-21,3,0,7,6,0,4,1,2,0.72,0.7121,0.84,0.1045,117
14866,2012-09-16,3,1,9,14,0,0,0,1,0.66,0.6212,0.39,0.1343,635
9551,2012-02-07,1,1,2,21,0,2,1,1,0.34,0.3485,0.61,0.1045,190
11422,2012-04-26,2,1,4,2,0,4,1,2,0.48,0.4697,0.55,0.1045,13
1758,2011-03-18,1,0,3,22,0,5,1,1,0.62,0.6212,0.5,0.1642,118
5305,2011-08-13,3,0,8,22,0,6,0,2,0.68,0.6364,0.83,0.3881,154
14079,2012-08-14,3,1,8,19,0,2,1,1,0.76,0.7273,0.66,0.194,627
1082,2011-02-17,1,0,2,19,0,4,1,1,0.48,0.4697,0.55,0.3284,175
11755,2012-05-09,2,1,5,23,0,3,1,3,0.48,0.4697,0.82,0.194,55
13204,2012-07-09,3,1,7,8,0,1,1,2,0.66,0.6061,0.83,0.1642,455
5527,2011-08-23,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642,5
3403,2011-05-26,2,0,5,16,0,4,1,2,0.8,0.7424,0.49,0.3582,291
13723,2012-07-30,3,1,7,23,0,1,1,1,0.7,0.6667,0.74,0.194,150
13468,2012-07-20,3,1,7,8,0,5,1,2,0.68,0.6364,0.83,0.1642,691
10994,2012-04-08,2,1,4,5,0,0,0,1,0.38,0.3939,0.46,0,12
2467,2011-04-17,2,0,4,16,0,0,0,1,0.54,0.5152,0.3,0.3582,343
8172,2011-12-12,4,0,12,3,0,1,1,1,0.18,0.2424,0.74,0,2
638,2011-01-29,1,0,1,20,0,6,0,1,0.18,0.2121,0.74,0.0896,43
6471,2011-10-02,4,0,10,4,0,0,0,2,0.34,0.3182,0.87,0.2537,7
8606,2011-12-30,1,0,12,8,0,5,1,2,0.24,0.2576,0.75,0.0896,205
7661,2011-11-20,4,0,11,19,0,0,0,2,0.5,0.4848,0.72,0.1045,157
9289,2012-01-27,1,1,1,22,0,5,1,1,0.34,0.303,0.49,0.3881,119
9292,2012-01-28,1,1,1,1,0,6,0,1,0.3,0.303,0.52,0.1642,58
5919,2011-09-09,3,0,9,3,0,5,1,2,0.62,0.5455,0.94,0.2537,2
14479,2012-08-31,3,1,8,11,0,5,1,1,0.86,0.7424,0.28,0.2985,309
12071,2012-05-23,2,1,5,3,0,3,1,1,0.6,0.5758,0.78,0.1045,5
10417,2012-03-15,1,1,3,3,0,4,1,1,0.5,0.4848,0.63,0,7
13809,2012-08-03,3,1,8,13,0,5,1,2,0.86,0.803,0.47,0.2836,345
12374,2012-06-04,2,1,6,18,0,1,1,1,0.64,0.6212,0.38,0.3881,822
15823,2012-10-26,4,1,10,11,0,5,1,2,0.56,0.5303,0.78,0.1642,290
8895,2012-01-11,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896,99
9504,2012-02-05,1,1,2,21,0,0,0,1,0.28,0.2879,0.56,0.1045,66
1176,2011-02-21,1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,66
11101,2012-04-12,2,1,4,17,0,4,1,1,0.5,0.4848,0.27,0.3881,656
14640,2012-09-07,3,1,9,4,0,5,1,1,0.62,0.5606,0.88,0,8
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
7895,2011-11-30,4,0,11,14,0,3,1,2,0.38,0.3939,0.43,0.3582,112
7058,2011-10-26,4,0,10,16,0,3,1,2,0.52,0.5,0.77,0.0896,213
11106,2012-04-12,2,1,4,22,0,4,1,1,0.42,0.4242,0.35,0.194,158
4633,2011-07-16,3,0,7,22,0,6,0,1,0.7,0.6515,0.65,0.2836,201
777,2011-02-04,1,0,2,19,0,5,1,2,0.24,0.2424,0.65,0.1343,103
16652,2012-12-01,4,1,12,14,0,6,0,2,0.36,0.3788,0.71,0,479
16131,2012-11-09,4,1,11,20,0,5,1,1,0.36,0.3485,0.66,0.1343,255
5416,2011-08-18,3,0,8,13,0,4,1,1,0.8,0.7424,0.52,0.3582,187
11986,2012-05-19,2,1,5,14,0,6,0,1,0.72,0.6515,0.3,0.0896,730
1430,2011-03-04,1,0,3,20,0,5,1,2,0.3,0.2879,0.7,0.194,87
10862,2012-04-02,2,1,4,17,0,1,1,1,0.5,0.4848,0.29,0.2836,729
7240,2011-11-03,4,0,11,6,0,4,1,1,0.34,0.3333,0.76,0.194,99
12121,2012-05-25,2,1,5,5,0,5,1,2,0.62,0.5606,0.88,0.0896,30
503,2011-01-23,1,0,1,0,0,0,0,1,0.04,0.0758,0.57,0.1045,22
5660,2011-08-29,3,0,8,6,0,1,1,1,0.56,0.5303,0.73,0.1343,102
6800,2011-10-15,4,0,10,21,0,6,0,1,0.5,0.4848,0.42,0.2239,168
1670,2011-03-15,1,0,3,4,0,2,1,1,0.24,0.2576,0.75,0.0896,2
6251,2011-09-23,4,0,9,0,0,5,1,2,0.62,0.5455,0.94,0.0896,52
14724,2012-09-10,3,1,9,16,0,1,1,1,0.66,0.6212,0.34,0.3284,488
10149,2012-03-03,1,1,3,22,0,6,0,1,0.44,0.4394,0.21,0.1343,134
16235,2012-11-14,4,1,11,4,0,3,1,1,0.22,0.2273,0.69,0.194,6
2004,2011-03-29,2,0,3,8,0,2,1,1,0.24,0.2121,0.35,0.3582,287
10152,2012-03-04,1,1,3,1,0,0,0,2,0.38,0.3939,0.34,0.194,76
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
4287,2011-07-02,3,0,7,12,0,6,0,1,0.82,0.7121,0.3,0.1343,374
7591,2011-11-17,4,0,11,21,0,4,1,1,0.3,0.2879,0.42,0.2537,116
12820,2012-06-23,3,1,6,8,0,6,0,1,0.68,0.6364,0.69,0.2239,167
12170,2012-05-27,2,1,5,6,0,0,0,1,0.62,0.5758,0.83,0.1642,22
14814,2012-09-14,3,1,9,10,0,5,1,2,0.68,0.6364,0.65,0,246
16573,2012-11-28,4,1,11,6,0,3,1,2,0.26,0.2576,0.65,0.2239,136
5061,2011-08-03,3,0,8,18,0,3,1,3,0.7,0.6667,0.84,0,492
8476,2011-12-24,1,0,12,19,0,6,0,1,0.3,0.3182,0.52,0.0896,25
16003,2012-11-04,4,1,11,11,0,0,0,1,0.38,0.3939,0.46,0.2239,445
11228,2012-04-18,2,1,4,0,0,3,1,1,0.54,0.5152,0.32,0.1642,38
12327,2012-06-02,2,1,6,19,0,6,0,1,0.64,0.6212,0.36,0.1642,554
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
12383,2012-06-05,2,1,6,3,0,2,1,3,0.5,0.4848,0.82,0.194,5
16326,2012-11-17,4,1,11,23,0,6,0,2,0.3,0.3182,0.7,0.1045,133
5910,2011-09-08,3,0,9,18,0,4,1,3,0.64,0.5606,0.94,0.3582,68
352,2011-01-16,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0,15
5265,2011-08-12,3,0,8,6,0,5,1,1,0.62,0.6212,0.5,0.1343,76
14059,2012-08-13,3,1,8,23,0,1,1,1,0.7,0.6515,0.7,0.2239,128
13436,2012-07-19,3,1,7,0,0,4,1,1,0.74,0.697,0.66,0.0896,66
1134,2011-02-19,1,0,2,23,0,6,0,1,0.28,0.2424,0.33,0.4478,29
17141,2012-12-21,1,1,12,23,0,5,1,1,0.26,0.2424,0.44,0.2836,40
8803,2012-01-07,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836,512
9759,2012-02-16,1,1,2,13,0,4,1,3,0.34,0.3182,0.71,0.2537,64
3256,2011-05-20,2,0,5,13,0,5,1,3,0.6,0.6212,0.56,0.2836,232
13669,2012-07-28,3,1,7,17,0,6,0,1,0.82,0.7576,0.46,0.194,479
2188,2011-04-06,2,0,4,0,0,3,1,1,0.3,0.3182,0.49,0.1045,15
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
9928,2012-02-23,1,1,2,16,0,4,1,1,0.56,0.5303,0.32,0,343
5845,2011-09-05,3,0,9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,20
10512,2012-03-19,1,1,3,2,0,1,1,1,0.46,0.4545,0.88,0.1642,8
6649,2011-10-09,4,0,10,14,0,0,0,1,0.68,0.6364,0.47,0.1642,500
14821,2012-09-14,3,1,9,17,0,5,1,1,0.72,0.6667,0.51,0.194,894
389,2011-01-17,1,0,1,16,1,1,0,2,0.2,0.2121,0.47,0.1642,82
10923,2012-04-05,2,1,4,6,0,4,1,1,0.36,0.3333,0.46,0.3284,126
16109,2012-11-08,4,1,11,22,0,4,1,1,0.34,0.303,0.42,0.2985,161
4149,2011-06-26,3,0,6,18,0,0,0,2,0.72,0.6515,0.45,0.2537,382
16801,2012-12-07,4,1,12,19,0,5,1,2,0.38,0.3939,0.76,0,352
5473,2011-08-20,3,0,8,22,0,6,0,2,0.7,0.6667,0.74,0.194,223
590,2011-01-27,1,0,1,18,0,4,1,1,0.2,0.2273,0.69,0.0896,104
1815,2011-03-21,2,0,3,8,0,1,1,2,0.3,0.2727,0.87,0.4179,98
4308,2011-07-03,3,0,7,9,0,0,0,1,0.7,0.6667,0.74,0.2537,181
2172,2011-04-05,2,0,4,8,0,2,1,3,0.38,0.3939,0.87,0.5821,157
1686,2011-03-15,1,0,3,20,0,2,1,2,0.34,0.3182,0.71,0.2836,88
6801,2011-10-15,4,0,10,22,0,6,0,1,0.5,0.4848,0.36,0.1343,166
16560,2012-11-27,4,1,11,17,0,2,1,2,0.3,0.2727,0.75,0.3881,527
9409,2012-02-01,1,1,2,22,0,3,1,1,0.5,0.4848,0.55,0.194,140
907,2011-02-10,1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,99
8203,2011-12-13,4,0,12,10,0,2,1,1,0.3,0.303,0.52,0.1642,102
15793,2012-10-25,4,1,10,5,0,4,1,2,0.52,0.5,0.88,0.1642,55
1467,2011-03-06,1,0,3,10,0,0,0,2,0.42,0.4242,1,0.2985,31
3467,2011-05-29,2,0,5,8,0,0,0,2,0.62,0.5606,0.88,0.2239,96
5831,2011-09-05,3,0,9,9,1,1,0,3,0.68,0.6364,0.74,0.1642,152
3606,2011-06-04,2,0,6,3,0,6,0,1,0.52,0.5,0.59,0.1045,18
10459,2012-03-16,1,1,3,21,0,5,1,2,0.44,0.4394,0.94,0,152
838,2011-02-07,1,0,2,8,0,1,1,2,0.16,0.2273,1,0,230
3484,2011-05-30,2,0,5,1,1,1,0,1,0.64,0.5606,0.94,0.1343,79
11143,2012-04-14,2,1,4,11,0,6,0,1,0.52,0.5,0.45,0.194,564
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
12126,2012-05-25,2,1,5,10,0,5,1,1,0.68,0.6364,0.79,0.1642,232
1824,2011-03-21,2,0,3,17,0,1,1,2,0.54,0.5152,0.64,0.2537,272
6064,2011-09-15,3,0,9,5,0,4,1,1,0.6,0.5758,0.78,0,31
4793,2011-07-23,3,0,7,14,0,6,0,1,0.92,0.8939,0.42,0,236
14326,2012-08-25,3,1,8,2,0,6,0,2,0.66,0.6212,0.74,0.0896,79
13333,2012-07-14,3,1,7,17,0,6,0,3,0.7,0.6667,0.79,0.1642,458
11921,2012-05-16,2,1,5,21,0,3,1,1,0.64,0.6061,0.73,0.194,393
6197,2011-09-20,3,0,9,18,0,2,1,1,0.6,0.5606,0.83,0.1045,492
12779,2012-06-21,3,1,6,15,0,4,1,1,0.92,0.8333,0.33,0.1642,194
15830,2012-10-26,4,1,10,18,0,5,1,2,0.56,0.5303,0.78,0.1343,665
12507,2012-06-10,2,1,6,7,0,0,0,1,0.6,0.5758,0.78,0.1045,62
16662,2012-12-02,4,1,12,0,0,0,0,2,0.3,0.3182,0.87,0.0896,117
15261,2012-10-03,4,1,10,1,0,3,1,2,0.62,0.5455,0.94,0,19
13781,2012-08-02,3,1,8,9,0,4,1,1,0.76,0.7273,0.66,0.1045,343
5167,2011-08-08,3,0,8,4,0,1,1,1,0.66,0.5909,0.89,0.1045,10
3099,2011-05-14,2,0,5,0,0,6,0,2,0.5,0.4848,0.88,0.1343,102
756,2011-02-03,1,0,2,21,0,4,1,1,0.18,0.2121,0.55,0.1045,54
6812,2011-10-16,4,0,10,9,0,0,0,1,0.5,0.4848,0.45,0.2239,190
7694,2011-11-22,4,0,11,4,0,2,1,3,0.38,0.3939,0.94,0.1642,7
6045,2011-09-14,3,0,9,10,0,3,1,1,0.7,0.6515,0.7,0.1343,142
6337,2011-09-26,4,0,9,14,0,1,1,1,0.7,0.6515,0.7,0.1642,154
14619,2012-09-06,3,1,9,7,0,4,1,2,0.7,0.6667,0.84,0.1045,482
9382,2012-01-31,1,1,1,19,0,2,1,1,0.5,0.4848,0.29,0.2836,328
6275,2011-09-24,4,0,9,0,0,6,0,1,0.58,0.5455,1,0.0896,93
2329,2011-04-11,2,0,4,22,0,1,1,2,0.64,0.6212,0.5,0.2836,91
15522,2012-10-13,4,1,10,22,0,6,0,1,0.4,0.4091,0.62,0,189
10997,2012-04-08,2,1,4,8,0,0,0,1,0.4,0.4091,0.3,0.194,84
6600,2011-10-07,4,0,10,13,0,5,1,1,0.6,0.6212,0.46,0,305
12179,2012-05-27,2,1,5,15,0,0,0,1,0.78,0.7121,0.52,0.2836,535
17070,2012-12-19,4,1,12,0,0,3,1,1,0.3,0.3182,0.61,0,41
874,2011-02-08,1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,56
879,2011-02-09,1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,7
4774,2011-07-22,3,0,7,19,0,5,1,2,0.86,0.7879,0.41,0.1045,250
4021,2011-06-21,3,0,6,10,0,2,1,2,0.64,0.5758,0.83,0.194,161
7593,2011-11-17,4,0,11,23,0,4,1,1,0.26,0.2576,0.52,0.2239,58
13707,2012-07-30,3,1,7,7,0,1,1,1,0.7,0.6667,0.79,0.0896,469
13861,2012-08-05,3,1,8,17,0,0,0,1,0.82,0.7576,0.46,0.2537,382
9453,2012-02-03,1,1,2,18,0,5,1,1,0.38,0.3939,0.4,0.1343,385
9095,2012-01-19,1,1,1,20,0,4,1,1,0.26,0.2121,0.52,0.4478,191
9846,2012-02-20,1,1,2,5,1,1,0,2,0.24,0.2121,0.6,0.3582,6
11943,2012-05-17,2,1,5,19,0,4,1,1,0.64,0.6212,0.31,0.194,537
2538,2011-04-20,2,0,4,15,0,3,1,2,0.76,0.6667,0.35,0.3582,145
6793,2011-10-15,4,0,10,14,0,6,0,1,0.6,0.6212,0.33,0.4627,472
9129,2012-01-21,1,1,1,6,0,6,0,3,0.16,0.1667,0.93,0.1642,1
9733,2012-02-15,1,1,2,11,0,3,1,1,0.36,0.3333,0.53,0.2836,138
8927,2012-01-12,1,1,1,19,0,4,1,2,0.42,0.4242,0.71,0.1642,330
3496,2011-05-30,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896,350
13998,2012-08-11,3,1,8,10,0,6,0,1,0.72,0.6818,0.62,0.0896,407
3349,2011-05-24,2,0,5,10,0,2,1,1,0.7,0.6515,0.61,0.3284,108
4729,2011-07-20,3,0,7,22,0,3,1,1,0.78,0.7727,0.7,0.2239,169
2623,2011-04-24,2,0,4,4,0,0,0,1,0.5,0.4848,0.94,0.0896,5
5541,2011-08-23,3,0,8,18,0,2,1,1,0.72,0.6515,0.34,0.194,519
2706,2011-04-27,2,0,4,15,0,3,1,1,0.7,0.6515,0.65,0.4925,138
9814,2012-02-18,1,1,2,20,0,6,0,1,0.44,0.4394,0.44,0.1642,148
1883,2011-03-24,2,0,3,5,0,4,1,2,0.28,0.2727,0.93,0.2239,9
13523,2012-07-22,3,1,7,15,0,0,0,1,0.72,0.6818,0.66,0.1045,624
11069,2012-04-11,2,1,4,9,0,3,1,2,0.32,0.303,0.49,0.2985,302
16765,2012-12-06,4,1,12,7,0,4,1,1,0.22,0.2121,0.51,0.2985,389
2881,2011-05-04,2,0,5,22,0,3,1,1,0.38,0.3939,0.62,0.2239,89
8085,2011-12-08,4,0,12,12,0,4,1,1,0.28,0.2576,0.52,0.3284,156
1288,2011-02-26,1,0,2,19,0,6,0,1,0.32,0.303,0.49,0.2537,94
2402,2011-04-14,2,0,4,23,0,4,1,1,0.46,0.4545,0.59,0.1045,47
15546,2012-10-14,4,1,10,22,0,0,0,1,0.56,0.5303,0.73,0.3881,125
9594,2012-02-09,1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0,238
13685,2012-07-29,3,1,7,9,0,0,0,1,0.72,0.6818,0.62,0.2537,226
14180,2012-08-19,3,1,8,0,0,0,0,1,0.66,0.6212,0.57,0.0896,187
10433,2012-03-15,1,1,3,19,0,4,1,2,0.64,0.6212,0.5,0.194,425
2154,2011-04-04,2,0,4,14,0,1,1,2,0.74,0.6515,0.27,0.4925,123
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,3
8043,2011-12-06,4,0,12,18,0,2,1,2,0.46,0.4545,1,0.2836,304
11511,2012-04-29,2,1,4,19,0,0,0,1,0.56,0.5303,0.35,0.1343,375
11677,2012-05-06,2,1,5,17,0,0,0,2,0.62,0.6061,0.65,0.1343,511
16386,2012-11-20,4,1,11,11,0,2,1,2,0.42,0.4242,0.67,0.0896,205
11949,2012-05-18,2,1,5,1,0,5,1,1,0.5,0.4848,0.59,0.0896,49
3678,2011-06-07,2,0,6,3,0,2,1,1,0.6,0.5909,0.73,0.0896,2
5227,2011-08-10,3,0,8,16,0,3,1,1,0.86,0.7424,0.26,0.2985,282
627,2011-01-29,1,0,1,9,0,6,0,1,0.18,0.2121,0.59,0.0896,34
13694,2012-07-29,3,1,7,18,0,0,0,1,0.8,0.7121,0.41,0.2985,419
3734,2011-06-09,2,0,6,11,0,4,1,1,0.9,0.8485,0.42,0.2239,118
7217,2011-11-02,4,0,11,7,0,3,1,1,0.3,0.3333,0.81,0,251
14903,2012-09-18,3,1,9,3,0,2,1,2,0.62,0.5455,0.94,0.2836,6
7554,2011-11-16,4,0,11,8,0,3,1,3,0.46,0.4545,0.94,0,232
14209,2012-08-20,3,1,8,5,0,1,1,2,0.6,0.5606,0.83,0,37
810,2011-02-06,1,0,2,4,0,0,0,1,0.26,0.2273,0.6,0.3582,2
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
6749,2011-10-13,4,0,10,18,0,4,1,3,0.62,0.5758,0.83,0.2537,268
9955,2012-02-24,1,1,2,19,0,5,1,2,0.44,0.4394,0.88,0.1045,233
14812,2012-09-14,3,1,9,8,0,5,1,2,0.6,0.5758,0.78,0.1642,766
13788,2012-08-02,3,1,8,16,0,4,1,1,0.82,0.7576,0.46,0.194,406
10627,2012-03-23,2,1,3,21,0,5,1,1,0.62,0.6212,0.53,0.1045,284
7657,2011-11-20,4,0,11,15,0,0,0,2,0.52,0.5,0.68,0.194,351
14327,2012-08-25,3,1,8,3,0,6,0,1,0.66,0.6212,0.69,0.0896,38
9659,2012-02-12,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985,63
16444,2012-11-22,4,1,11,21,1,4,0,1,0.34,0.3485,0.61,0.0896,46
7813,2011-11-27,4,0,11,3,0,0,0,1,0.34,0.3636,0.87,0,17
5670,2011-08-29,3,0,8,16,0,1,1,1,0.72,0.6515,0.42,0.1642,282
16167,2012-11-11,4,1,11,8,0,0,0,1,0.32,0.3333,0.87,0.1045,119
5587,2011-08-25,3,0,8,16,0,4,1,1,0.72,0.7121,0.84,0,121
15026,2012-09-23,4,1,9,6,0,0,0,1,0.44,0.4394,0.62,0.2537,16
8042,2011-12-06,4,0,12,17,0,2,1,2,0.46,0.4545,1,0.2239,262
15223,2012-10-01,4,1,10,11,0,1,1,1,0.58,0.5455,0.46,0,272
3195,2011-05-18,2,0,5,0,0,3,1,2,0.54,0.5152,0.88,0.2239,23
11719,2012-05-08,2,1,5,11,0,2,1,2,0.6,0.6061,0.64,0.3881,217
16523,2012-11-26,4,1,11,4,0,1,1,1,0.22,0.2727,0.69,0,10
2981,2011-05-09,2,0,5,2,0,1,1,1,0.44,0.4394,0.94,0,8
7358,2011-11-08,4,0,11,4,0,2,1,1,0.3,0.3333,0.87,0,4
1166,2011-02-21,1,0,2,8,1,1,0,2,0.32,0.303,0.57,0.2985,63
8048,2011-12-06,4,0,12,23,0,2,1,3,0.46,0.4545,1,0.1642,53
1473,2011-03-06,1,0,3,16,0,0,0,3,0.36,0.3333,1,0.2836,11
11947,2012-05-17,2,1,5,23,0,4,1,1,0.54,0.5152,0.49,0.1343,166
7832,2011-11-27,4,0,11,22,0,0,0,1,0.48,0.4697,0.72,0.2537,66
761,2011-02-04,1,0,2,2,0,5,1,2,0.14,0.1667,0.63,0.1045,1
16077,2012-11-07,4,1,11,13,0,3,1,2,0.32,0.303,0.53,0.2537,181
14800,2012-09-13,3,1,9,20,0,4,1,1,0.62,0.6061,0.69,0.1045,463
2207,2011-04-06,2,0,4,19,0,3,1,1,0.5,0.4848,0.31,0.2985,232
14176,2012-08-18,3,1,8,20,0,6,0,1,0.7,0.6364,0.45,0.1045,341
17243,2012-12-26,1,1,12,7,0,3,1,3,0.2,0.1818,0.86,0.3284,26
15004,2012-09-22,3,1,9,8,0,6,0,1,0.6,0.5909,0.73,0.2985,218
12672,2012-06-17,2,1,6,4,0,0,0,1,0.54,0.5152,0.64,0.0896,18
6366,2011-09-27,4,0,9,19,0,2,1,2,0.64,0.5758,0.89,0.1343,320
10798,2012-03-31,2,1,3,0,0,6,0,1,0.38,0.3939,0.82,0.194,92
8530,2011-12-27,1,0,12,3,0,2,1,2,0.3,0.2879,0.61,0.2239,3
10744,2012-03-28,2,1,3,18,0,3,1,1,0.6,0.6061,0.6,0.2239,641
16609,2012-11-29,4,1,11,19,0,4,1,1,0.3,0.2879,0.52,0.194,344
16227,2012-11-13,4,1,11,20,0,2,1,1,0.3,0.2727,0.49,0.3582,223
15354,2012-10-06,4,1,10,22,0,6,0,1,0.44,0.4394,0.62,0.1343,185
11634,2012-05-04,2,1,5,22,0,5,1,1,0.6,0.5606,0.83,0.1343,232
4797,2011-07-23,3,0,7,18,0,6,0,1,0.92,0.8788,0.4,0.2239,196
17209,2012-12-24,1,1,12,20,0,1,1,3,0.24,0.2424,0.93,0.1343,23
14957,2012-09-20,3,1,9,9,0,4,1,1,0.56,0.5303,0.6,0.0896,355
7233,2011-11-02,4,0,11,23,0,3,1,1,0.36,0.3636,0.76,0.0896,57
5119,2011-08-06,3,0,8,4,0,6,0,2,0.66,0.6061,0.83,0.1642,10
4998,2011-08-01,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,4
6921,2011-10-20,4,0,10,23,0,4,1,1,0.42,0.4242,0.58,0.2537,90
7676,2011-11-21,4,0,11,10,0,1,1,2,0.52,0.5,0.83,0,135
12612,2012-06-14,2,1,6,16,0,4,1,1,0.72,0.6667,0.51,0.2836,438
13709,2012-07-30,3,1,7,9,0,1,1,2,0.74,0.697,0.7,0,293
934,2011-02-11,1,0,2,12,0,5,1,1,0.22,0.2273,0.47,0.1343,71
8459,2011-12-24,1,0,12,2,0,6,0,2,0.32,0.3333,0.66,0.0896,26
8784,2012-01-06,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836,272
1540,2011-03-09,1,0,3,12,0,3,1,2,0.32,0.303,0.76,0.2537,98
